2025-08-23 15:23,-1702,30.8,100,4132,17,-13.000002,-54.000002,sensor_01
2025-08-23 15:29,-1698,30.8,100,4131,18,-13.000002,-54.000002,sensor_01
2025-08-23 15:41,-1569,30.8,100,4132,17,-13.000002,-54.000002,sensor_01
2025-08-23 16:14,-1662,29.8,100,4133,19,-13.000002,-54.000002,sensor_01
2025-08-23 16:14,-1662,29.8,100,4133,19,-13.000002,-54.000002,sensor_01
2025-08-23 16:14,-1662,29.8,100,4133,19,-13.000002,-54.000002,sensor_01
2025-08-23 16:14,-1662,29.8,100,4133,19,-13.000002,-54.000002,sensor_01
2025-08-23 16:31,-1651,30.8,100,4133,17,-13.000002,-54.000002,sensor_01
2025-08-23 16:43,-1701,29.8,100,4132,15,-13.000002,-54.000002,sensor_01
2025-08-23 17:17,-1755,29.8,100,4134,17,-13.000002,-54.000002,sensor_01
2025-08-23 17:28,-1990,29.8,100,4131,15,-13.000002,-54.000002,sensor_01
2025-08-23 18:14,-2071,28.8,100,4132,16,-13.000002,-54.000002,sensor_01
2025-08-23 18:25,-2081,28.8,100,4132,17,-13.000002,-54.000002,sensor_01
2025-08-23 18:37,-2124,28.8,100,4133,16,-13.000002,-54.000002,sensor_01
2025-08-23 18:54,-2186,27.8,100,4131,16,-13.000002,-54.000002,sensor_01
2025-08-23 19:00,-2322,27.8,100,4133,18,-13.000002,-54.000002,sensor_01
2025-08-23 19:12,-2393,27.8,100,4132,16,-13.000002,-54.000002,sensor_01
2025-08-23 19:45,-2542,27.8,100,4134,16,-13.000002,-54.000002,sensor_01
2025-08-23 19:51,-2543,27.8,100,4132,15,-13.000002,-54.000002,sensor_01
2025-08-23 20:08,-2596,26.8,100,4133,16,-13.000002,-54.000002,sensor_01
2025-08-23 20:20,-2730,26.8,100,4134,17,-13.000002,-54.000002,sensor_01
2025-08-23 20:42,-2800,26.8,100,4131,18,-13.000002,-54.000002,sensor_01
2025-08-23 20:48,-2790,26.8,100,4133,17,-13.000002,-54.000002,sensor_01
2025-08-23 20:59,-2915,26.8,100,4131,18,-13.000002,-54.000002,sensor_01
2025-08-23 21:22,-2978,25.8,100,4132,18,-13.000002,-54.000002,sensor_01
2025-08-23 21:28,-2997,25.8,100,4133,17,-13.000002,-54.000002,sensor_01
2025-08-23 21:39,-3001,25.8,100,4132,16,-13.000002,-54.000002,sensor_01
2025-08-23 21:56,-3026,25.8,100,4132,17,-13.000002,-54.000002,sensor_01
2025-08-23 22:08,-3073,25.8,100,4131,18,-13.000002,-54.000002,sensor_01
2025-08-23 22:13,-3215,25.8,100,4133,16,-13.000002,-54.000002,sensor_01
2025-08-23 22:19,-3104,25.8,100,4131,17,-13.000002,-54.000002,sensor_01
2025-08-23 22:25,-3143,25.8,100,4132,16,-13.000002,-54.000002,sensor_01
2025-08-23 22:31,-3167,25.8,100,4132,17,-13.000002,-54.000002,sensor_01
2025-08-23 22:42,-3286,25.8,100,4132,16,-13.000002,-54.000002,sensor_01
2025-08-23 22:48,-3270,24.8,100,4132,18,-13.000002,-54.000002,sensor_01
2025-08-23 22:54,-3290,24.8,99,4134,15,-13.000002,-54.000002,sensor_01
2025-08-23 23:05,-3261,24.8,100,4133,17,-13.000002,-54.000002,sensor_01
2025-08-23 23:17,-3396,24.8,100,4132,15,-13.000002,-54.000002,sensor_01
2025-08-23 23:22,-3358,24.8,100,4131,18,-13.000002,-54.000002,sensor_01
2025-08-23 23:46,-3452,24.8,100,4131,15,-13.000002,-54.000002,sensor_01
2025-08-24 00:08,-3652,24.8,100,4133,18,-13.000002,-54.000002,sensor_01
2025-08-24 00:37,-3585,24.8,100,4131,15,-13.000002,-54.000002,sensor_01
2025-08-24 00:43,-3681,23.8,100,4132,15,-13.000002,-54.000002,sensor_01
2025-08-24 01:05,-3847,23.8,100,4132,15,-13.000002,-54.000002,sensor_01
2025-08-24 01:11,-3932,23.8,100,4132,14,-13.000002,-54.000002,sensor_01
2025-08-24 01:22,-4006,23.8,100,4133,15,-13.000002,-54.000002,sensor_01
2025-08-24 01:39,-4054,23.8,100,4133,14,-13.000002,-54.000002,sensor_01
2025-08-24 01:56,-4211,22.8,100,4133,15,-13.000002,-54.000002,sensor_01
2025-08-24 02:02,-4432,22.8,100,4132,15,-13.000002,-54.000002,sensor_01
2025-08-24 02:13,-4631,22.8,100,4131,14,-13.000002,-54.000002,sensor_01
2025-08-24 02:25,-4776,21.8,100,4134,15,-13.000002,-54.000002,sensor_01
2025-08-24 02:30,-4766,21.8,100,4134,16,-13.000002,-54.000002,sensor_01
2025-08-24 02:36,-4943,21.8,100,4133,15,-13.000002,-54.000002,sensor_01
2025-08-24 02:53,-5034,21.8,100,4132,14,-13.000002,-54.000002,sensor_01
2025-08-24 03:10,-4951,21.8,100,4133,15,-13.000002,-54.000002,sensor_01
2025-08-24 03:16,-5095,20.8,100,4131,15,-13.000002,-54.000002,sensor_01
2025-08-24 03:21,-4931,20.8,100,4131,15,-13.000002,-54.000002,sensor_01
2025-08-24 03:33,-5211,20.8,100,4132,14,-13.000002,-54.000002,sensor_01
2025-08-24 03:55,-5099,20.8,100,4132,15,-13.000002,-54.000002,sensor_01
2025-08-24 04:01,-5194,20.8,100,4133,15,-13.000002,-54.000002,sensor_01
2025-08-24 04:07,-5349,20.8,100,4132,14,-13.000002,-54.000002,sensor_01
2025-08-24 04:24,-5466,20.8,100,4132,14,-13.000002,-54.000002,sensor_01
2025-08-24 04:35,-5264,20.8,100,4131,14,-13.000002,-54.000002,sensor_01
2025-08-24 04:41,-5491,20.8,100,4132,14,-13.000002,-54.000002,sensor_01
2025-08-24 04:47,-5305,20.8,100,4132,16,-13.000002,-54.000002,sensor_01
2025-08-24 05:10,-5364,20.8,100,4132,15,-13.000002,-54.000002,sensor_01
2025-08-24 05:54,-5627,20.8,100,4131,15,-13.000002,-54.000002,sensor_01
2025-08-24 06:06,-5612,20.8,100,4131,15,-13.000002,-54.000002,sensor_01
2025-08-24 06:23,-5455,20.8,100,4131,17,-13.000002,-54.000002,sensor_01
2025-08-24 06:28,-5731,20.8,100,4133,17,-13.000002,-54.000002,sensor_01
2025-08-24 06:34,-5393,20.8,100,4131,15,-13.000002,-54.000002,sensor_01
2025-08-24 06:40,-5577,19.8,100,4132,14,-13.000002,-54.000002,sensor_01
2025-08-24 06:46,-5675,20.8,100,4131,14,-13.000002,-54.000002,sensor_01
2025-08-24 07:47,-5408,20.8,100,4132,14,-13.000002,-54.000002,sensor_01
2025-08-24 07:53,-5598,20.8,100,4133,14,-13.000002,-54.000002,sensor_01
2025-08-24 08:10,-5647,20.8,100,4133,15,-13.000002,-54.000002,sensor_01
2025-08-24 08:21,-5568,20.8,100,4131,15,-13.000002,-54.000002,sensor_01
2025-08-24 08:27,-5501,20.8,100,4131,15,-13.000002,-54.000002,sensor_01
2025-08-24 08:44,-5424,20.8,100,4132,15,-13.000002,-54.000002,sensor_01
2025-08-24 08:50,-5355,20.8,100,4132,15,-13.000002,-54.000002,sensor_01
2025-08-24 09:12,-5374,20.8,100,4132,14,-13.000002,-54.000002,sensor_01
2025-08-24 09:29,-5053,20.8,100,4132,16,-13.000002,-54.000002,sensor_01
2025-08-24 09:35,-5308,21.8,100,4131,15,-13.000002,-54.000002,sensor_01
2025-08-24 09:46,-5211,20.8,100,4132,16,-13.000002,-54.000002,sensor_01
2025-08-24 09:52,-5125,21.8,100,4133,15,-13.000002,-54.000002,sensor_01
2025-08-24 09:58,-5116,21.8,100,4132,15,-13.000002,-54.000002,sensor_01
2025-08-24 10:09,-4781,22.8,100,4132,15,-13.000002,-54.000002,sensor_01
2025-08-24 10:32,-4714,22.8,100,4132,16,-13.000002,-54.000002,sensor_01
2025-08-24 10:38,-4530,22.8,100,4132,15,-13.000002,-54.000002,sensor_01
2025-08-24 10:43,-4602,22.8,100,4133,15,-13.000002,-54.000002,sensor_01
2025-08-24 10:49,-4597,22.8,100,4132,13,-13.000002,-54.000002,sensor_01
2025-08-24 10:55,-4630,22.8,100,4132,16,-13.000002,-54.000002,sensor_01
2025-08-24 11:01,-4682,22.8,100,4130,15,-13.000002,-54.000002,sensor_01
2025-08-24 11:07,-4518,22.8,100,4132,15,-13.000002,-54.000002,sensor_01
2025-08-24 11:12,-4634,22.8,100,4133,16,-13.000002,-54.000002,sensor_01
2025-08-24 11:18,-4605,22.8,100,4133,15,-13.000002,-54.000002,sensor_01
2025-08-24 11:24,-4562,22.8,100,4132,17,-13.000002,-54.000002,sensor_01
2025-08-24 11:30,-4598,22.8,100,4132,15,-13.000002,-54.000002,sensor_01
2025-08-24 11:36,-4362,22.8,100,4131,17,-13.000002,-54.000002,sensor_01
2025-08-24 11:41,-4362,23.8,100,4132,16,-13.000002,-54.000002,sensor_01
2025-08-24 11:47,-4267,23.8,100,4130,15,-13.000002,-54.000002,sensor_01
2025-08-24 11:53,-4383,23.8,100,4133,15,-13.000002,-54.000002,sensor_01
2025-08-24 12:04,-4113,23.8,100,4131,16,-13.000002,-54.000002,sensor_01
2025-08-24 12:10,-4294,23.8,100,4133,15,-13.000002,-54.000002,sensor_01
2025-08-24 12:16,-4325,23.8,100,4132,17,-13.000002,-54.000002,sensor_01
2025-08-24 12:27,-4178,23.8,100,4133,16,-13.000002,-54.000002,sensor_01
2025-08-24 12:39,-4131,23.8,100,4131,16,-13.000002,-54.000002,sensor_01
2025-08-24 12:44,-4051,23.8,100,4131,17,-13.000002,-54.000002,sensor_01
2025-08-24 12:50,-4191,23.8,100,4131,15,-13.000002,-54.000002,sensor_01
